Facility ID,Name,Full Address,Street Number,Street Direction,Street Name,Street Type,Basketball,Splashpad,Playground,Ramada,Horsehoes,Volleyball,Restroom,Barbecue Grills,Picnic Tables,Lake,Trails,Baseball,Bleachers,Dog Area,Soccer,Disc Golf,Tennis,Pickelball,Raquetball,Exercise Course,NumberofAcres,Type,Park Site Map,Location,City,Latitude,Longitude
PKPK507,Fountain Plaza,417 E Southern Ave,417,E,Southern,Ave,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,Park,,,,,
PKBN132,Basin 734,2807 N 64th St,2935,N,64th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.1,Basin,,,,,
PKPK71,Freedom,1137 W 9th St,1137,W,9th, St,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.17,Park,,,,,
PKBN40,Basin 331,2321 N Yale,1840,N,Yale,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.2,Basin,,,,,
PKBN24,Basin 409,208 E Bates St,407,E,Bates,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.2,Basin,,,,,
PKBN17,Basin 407,214 E Ivy St,1715,E,Ivy,St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3,Basin,,,,,
PKBN128,Basin 720,2810 N Kashmir,3211,N,Kashmir,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3,Basin,,,,,
PKBN50,Basin 313,812 N Ashbrook,2416,N,Ashbrook,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3,Basin,,,,,
PKBN41,Basin 334,2769 E Lynwood Cir,2408,E,Lynwood,Cir,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3,Basin,,,,,
PKBLD6,Jefferson Recreation Center,120 S Jefferson Ave,120,S,Jefferson,Ave,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.386275292,Recreation,,"(33.412536, -111.679397)",Mesa,33.412536,-111.679397
PKBN51,Basin 319,2011 E Downing St,602,E,Downing, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4,Basin,,"(33.428851, -111.787703)",Mesa,33.428851,-111.787703
PKBN69,Basin 702,462 N Maple,2016,N,Maple,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4,Basin,,"(33.424384, -111.7480746)",Mesa,33.424384,-111.7480746
PKBN83,Basin 721,1315 N 64th St,2810,N,64th, St,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4,Basin,,"(33.439497, -111.692675)",Mesa,33.439497,-111.692675
PKBN1,Basin 605,755 S Date,740,S,Date,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4,Basin,,"(33.4009433, -111.8440497)",Mesa,33.4009433,-111.8440497
