X,Y,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LON,BSTP_LAT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,WARD_ID,ANC_ID,SMD_ID,ROUTEID,MEASURE,OFFSET,BLOCKKEY,BLOCKFACEKEY,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,SNOWPRIORITY
-77.0114982823105,38.8224967710587,1306838,1000012,1482,PRS,1966/03/02 00:00:00+00,REV,BLUE PLAINS DR SW,MARTIN LUTHER KING JR AVE SW,164,FAR,OPPO WINGATE HOUSE APTS,MARTIN LUTHER KING JR AVE SW + BLUE PLAINS DR SW,-77.011496,38.822489,,KFH,2006/04/11 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,<58,CON,NON,Y,N,E,0,U,E,U,UNK,UNK,-9,N,N,N,N,Y,N,Y,N,N,N,N,YUN,-9,U,Y,U,N,U,U,U,U,8,ANC 8D,8D04,14059452,1370.69995117188,3,f025e1726d9ce854f06f9cd87e33ffa8,3e9d0a8c7101c72e3fd71946b52deddd,BusStopPt_1,,{6127F869-648A-4DAE-8C68-9B4091A72CA2},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21121,YES
-76.9936602736266,38.8437287774174,1309633,1000150,2442,PRS,1968/11/25 00:00:00+00,REV,9TH ST SE,ALABAMA AVE SE,78,NEX,UNKNOWN,ALABAMA AVE SE + 9TH ST SE,-76.993658,38.843721,,KFH,2006/04/20 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,5,N,Y,N,NON,UNK,5.69999981,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,NSG,-9,N,N,U,Y,U,U,U,U,8,ANC 8C,8C03,13009362,512.900024414062,3,23323cd921259f65b7a18a4d7e812ecb,977eebe8dde73a5e0ead544ac45e76d4,BusStopPt_2,,{2EBF3CAF-4FD1-4CBE-8416-A69ABE405B5A},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21122,YES
-76.9952002891376,38.9515027956367,1302221,1002530,8509,PRS,1978/02/19 00:00:00+00,REV,FARRAGUT PL NE,SOUTH DAKOTA AVE NE,316,NEX,UNKNOWN,SOUTH DAKOTA AVE NE + FARRAGUT PL NE,-76.995198,38.951495,,KFH,2006/08/24 00:00:00+00,0,UNK,WMAT,N,Y,N,N,SWK,CON,NON,N,N,E,3,N,N,N,NON,UPV,4.9000001,N,Y,U,Y,N,Y,U,Y,N,N,N,NSG,-9,Y,Y,U,N,U,U,U,U,5,ANC 5A,5A02,12081442,5109.60009765625,3,a14a7ea6f2048b073f7a6e579b586c75,8a59b94929f5206d56b521c69a156cad,BusStopPt_3,,{F43CD5BF-C390-4E65-A143-C3940F0CCCBF},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21123,
-76.9498192707225,38.8669337827327,1303559,1000422,3745,PRS,1901/01/01 00:00:00+00,REV,R ST SE,ALABAMA AVE SE,35,NEA,UNKNOWN,ALABAMA AVE SE + R ST SE,-76.949817,38.866926,,KFH,2006/05/25 00:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,3,N,N,N,NON,UNK,4.0999999,N,N,Y,N,Y,Y,Y,U,Y,N,N,NSG,-9,N,Y,U,N,U,U,U,U,7,ANC 7B,7B07,13009362,5511.2998046875,3,9b1ac06dc077471fdd6061abff9c6de4,58092cec1808479bffe83fe07fbd12b2,BusStopPt_4,,{927BBBA7-6276-41DD-9812-46E2C9E4B248},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21124,
-77.0428602949116,38.9278897906041,1301995,1001978,7459,PRS,1971/04/27 00:00:00+00,UNK,ADAMS MILL RD,HARVARD ST NW,305,NEA,E OF DRWY TO HARVARD TOWERS,HARVARD ST NW + ADAMS MILL RD,-77.042858,38.927882,,KFH,2009/06/24 00:00:00+00,-9,UNK,UNKW,N,Y,N,N,58U,CON,NON,Y,N,E,6,N,Y,Y,NON,SLP,-9,N,N,U,Y,N,N,U,Y,N,N,N,NSG,-9,N,Y,U,U,U,U,U,U,1,ANC 1D,1D05,11043742,1989.69995117188,3,1819e2607474cdc0515ca5d58e2e5a43,ba794e574ca1bdd74e0c497713e64dc9,BusStopPt_5,,{AAC858B1-C9D1-45AC-B82C-2BF82D74B6E2},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21125,
-77.0168002887083,38.9384977947934,1302188,1003078,13141,PRS,1901/01/01 00:00:00+00,REV,4TH ST NW,ROCK CREEK CHURCH RD NW,221,NEA,UNKNOWN,ROCK CREEK CHURCH RD NW + 4TH ST NW,-77.016798,38.93849,,KFH,2006/05/11 00:00:00+00,0,UNK,WMAT,N,Y,N,N,58O,CON,TRC,Y,Y,U,5,N,Y,Y,NON,SLP,7.80000019,Y,N,Y,N,Y,N,Y,U,N,N,N,YUN,-9,U,Y,U,N,U,U,U,U,4,ANC 4C,4C10,11076702,1219.90002441406,3,7365b471ff25d90f4551be19a1d4214b,532287ab9a22011202ad38b9a3809af7,BusStopPt_6,,{654BC24A-F739-4A43-95A2-137CF3C20924},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21126,
-76.9935542867748,38.917617787398,1307871,1001704,6926,PRS,1978/02/19 00:00:00+00,REV,V ST NE,BRENTWOOD RD NE,222,NEX,UNKNOWN,BRENTWOOD RD NE + V ST NE,-76.993552,38.91761,,KFH,2006/07/19 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,Y,Y,N,NON,UNK,5.80000019,Y,N,U,Y,Y,N,U,Y,Y,Y,Y,YUN,-9,U,N,U,U,U,U,U,U,5,ANC 5C,5C05,12017612,258.399993896484,-3,2656bd1c58f70e0a7936b389707bb89d,96797805dbca305561d911a9f3ee4147,BusStopPt_7,,{73054201-5C0A-4D34-AAC9-A7B855E5503C},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21127,
-76.9938872781787,38.9332527957712,1301871,1003219,13579,PRS,2018/09/04 00:00:00+00,UNK,BUS BAY D,BROOKLAND-CUA STATION,357,ATP,UNKNOWN,BROOKLAND-CUA STATION + BUS BAY D,-76.993885,38.933245,,KFH,2009/06/19 00:00:00+00,-9,UNK,UNKW,Y,Y,Y,Y,58U,CON,SHL,Y,N,E,11,Y,Y,N,NON,UNK,-9,N,N,N,N,N,N,N,N,N,N,N,NPL,-9,U,N,Y,N,U,U,U,U,5,ANC 5B,5B02,12000902,3004.30004882812,-3,c58a4c2603988ffb2b031d42e3bef12d,da7e4ec5f9cb609e1973998b58b0e57f,BusStopPt_8,,{102F0BCF-5AAB-4282-ABC5-E29003EACCFD},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21128,
-77.02729529716,38.916929792082,1307667,1001678,6885,PRS,1991/05/12 00:00:00+00,REV,11TH ST NW,U ST NW,91,NEA,UNKNOWN,U ST NW + 11TH ST NW,-77.027293,38.916922,,KFH,2009/05/13 00:00:00+00,0,UNK,UNKW,N,N,N,N,58U,BRK,NON,Y,N,E,6,Y,Y,N,NON,UNK,6.69999981,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,-9,N,Y,U,Y,U,U,U,U,1,ANC 1B,1B02,11087232,1192.69995117188,-3,31a5a7ae4802942af67d91dff957e5d3,391a5162b9971fec3fabbd650e36ee19,BusStopPt_9,,{2F09B2F4-A04D-4FFB-A3A9-EF9514E0AFA3},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21129,
-77.0200162920849,38.9576388017139,1308423,1002636,17436,PRS,2011/02/15 00:00:00+00,REV,LONGFELLOW ST NW,5TH ST NW,177,NEA,UNKNOWN,5TH ST NW + LONGFELLOW ST NW,-77.020014,38.957631,,KFH,2006/06/12 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,SWK,CON,NON,N,N,E,6,N,N,N,NON,UNK,7.5,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,YUN,-9,U,Y,U,N,U,U,U,U,4,ANC 4D,4D01,11000502,5039.39990234375,-3,dec25711a3f26a16ba062fba0c4672bc,1b9d74f2a7098d046d78819e25e0dfdf,BusStopPt_10,,{5E4DD3BA-E5B8-441B-B36F-DD595E356C9B},JLAY,2022/09/23 20:02:16+00,JLAY,2022/09/23 20:02:16+00,21130,
