X,Y,Location,Juris,Status,Lat,Long
-111.8704333,33.4158977,Sycamore/Main St TC Bay 4,Mesa,Active,33.415903,-111.870444
-111.7880761,33.41412466,NB S GILBERT RD FS E ALDER CIR E MAIN ST,Mesa,Active,33.41413,-111.788087
-111.8737244,33.4146217,EB MAIN ST & FS DOBSON RD,Mesa,Active,33.414627,-111.873735
-111.8444352,33.43395077,NB DATE & FS 10TH ST,Mesa,Active,33.433956,-111.844446
-111.8042402,33.4153557,WB MAIN ST & NS STAPLEY DR,Mesa,Active,33.415361,-111.804251
-111.7212234,33.40825254,EB Broadway Rd AT 5121 East,Mesa,Active,33.408258,-111.721234
-111.6867433,33.32216582,NB Power Rd FS Ray Rd,Mesa,Active,33.322171,-111.686754
-111.8703542,33.4155379,Sycamore/Main St TC Bay 6,Mesa,Active,33.415543,-111.870365
-111.6892602,33.38766779,Superstition Springs TC Bay 2,Mesa,Active,33.387673,-111.689271
-111.6701563,33.42228585,EB University Dr FS 75th St,Mesa,Active,33.422291,-111.670167
-111.8696122,33.42954401,WB Rio Salado Pkwy FS Decatur St,Mesa,Active,33.429549,-111.869623
-111.8686313,33.42929765,EB Rio Salado Pkwy FS Decatur St,Mesa,Active,33.429303,-111.868642
-111.8313033,33.42416583,NB CENTER ST & FS 5TH ST,Mesa,Active,33.424171,-111.831314
-111.6886731,33.38766973,Superstition Springs TC Bay 4,Mesa,Active,33.387675,-111.688684
-111.6895423,33.38766775,Superstition Springs TC Bay 1,Mesa,Active,33.387673,-111.689553
-111.6889814,33.38766782,Superstition Springs TC Bay 3,Mesa,Active,33.387673,-111.688992
-111.8734933,33.42930879,EB Rio Salado Pkwy FS Dobson Rd,Mesa,Active,33.429314,-111.873504
-111.8298321,33.41713771,EB 1st St & NS Centennial Way,Mesa,Active,33.417143,-111.829843
-111.8556072,33.42930072,EB RIO SALADO PKWY & FS ALMA SCHOOL RD,Mesa,Active,33.429306,-111.855618
-111.8517351,33.42936773,EB RIO SALADO PKWY & FS WESTWOOD,Mesa,Active,33.429373,-111.851746
-111.7013943,33.41362966,EB ARBOR AV & FS RECKER RD,Mesa,Active,33.413635,-111.701405
-111.6970862,33.41265275,EB ARBOR AV & MB RECKER RD,Mesa,Active,33.412658,-111.697097
-111.8901371,33.37832967,EB BASELINE RD & FS DON CARLOS,Mesa,Active,33.378335,-111.890148
-111.8849173,33.37836583,EB BASELINE RD & FS EL DORADO,Mesa,Active,33.378371,-111.884928
-111.6671883,33.37914078,EB BASELINE RD & FS SOSSAMAN RD,Mesa,Active,33.379146,-111.667199
-111.6891032,33.41033879,EB BAYWOOD AV & MB DIEGO CIR,Mesa,Active,33.410344,-111.689114
-111.6877692,33.41055181,WB BAYWOOD AV & MB POWER RD,Mesa,Active,33.410557,-111.68778
-111.7833613,33.40801082,EB BROADWAY RD & FS CHESTNUT,Mesa,Active,33.408016,-111.783372
-111.7277824,33.40822367,EB BROADWAY RD & FS 48TH ST,Mesa,Active,33.408229,-111.727793
-111.7794322,33.40801175,EB BROADWAY RD & FS 24TH ST,Mesa,Active,33.408017,-111.779443
-111.7641284,33.40807276,EB BROADWAY RD & FS 31ST ST,Mesa,Active,33.408078,-111.764139
-111.7620583,33.40809274,EB BROADWAY RD & FS 32ND ST,Mesa,Active,33.408098,-111.762069
-111.7595533,33.40809674,EB BROADWAY RD & FS ALMAR,Mesa,Active,33.408102,-111.759564
-111.7990171,33.40786368,EB BROADWAY RD & FS BARKLEY,Mesa,Active,33.407869,-111.799028
-111.8312001,33.40773583,EB BROADWAY RD & FS CENTER ST,Mesa,Active,33.407741,-111.831211
-111.7876694,33.40792385,EB BROADWAY RD & FS GILBERT RD,Mesa,Active,33.407929,-111.78768
-111.7358381,33.40814689,EB BROADWAY RD & FS GREENFIELD RD,Mesa,Active,33.408152,-111.735849
-111.7183322,33.40819683,EB BROADWAY RD & FS HIGLEY RD,Mesa,Active,33.408202,-111.718343
-111.8165581,33.40771581,EB BROADWAY RD & FS OLIVE,Mesa,Active,33.407721,-111.816569
-111.8137553,33.40774787,EB BROADWAY RD & FS HORNE,Mesa,Active,33.407753,-111.813766
-111.8294702,33.40772968,EB BROADWAY RD & FS LEWIS,Mesa,Active,33.407735,-111.829481
-111.7703162,33.40796478,EB BROADWAY RD & FS LINDSAY RD,Mesa,Active,33.40797,-111.770327
-111.7477334,33.40814689,EB BROADWAY RD & FS MAPLE,Mesa,Active,33.408152,-111.747744
-111.7425793,33.40814389,EB BROADWAY RD & FS NORWALK,Mesa,Active,33.408149,-111.74259
-111.7317293,33.40819691,EB BROADWAY RD & FS QUINN,Mesa,Active,33.408202,-111.73174
-111.7242641,33.40824987,EB BROADWAY RD & FS RACINE,Mesa,Active,33.408255,-111.724275
-111.8093532,33.40777768,EB BROADWAY RD & FS SOLOMON,Mesa,Active,33.407783,-111.809364
-111.8047854,33.4078058,EB BROADWAY RD & FS STAPLEY DR,Mesa,Active,33.407811,-111.804796
-111.7143851,33.40829682,EB BROADWAY RD & FS SUNNYVALE,Mesa,Active,33.408302,-111.714396
-111.7529804,33.40805388,EB BROADWAY RD & FS VAL VISTA DR,Mesa,Active,33.408059,-111.752991
-111.8247382,33.4077128,EB BROADWAY RD & FS WILBUR,Mesa,Active,33.407718,-111.824749
-111.7752523,33.40804471,EB BROADWAY RD & MB ALPINE,Mesa,Active,33.40805,-111.775263
-111.7951682,33.40792565,EB BROADWAY RD & NS WILLIAMS,Mesa,Active,33.407931,-111.795179
-111.8393621,33.43509571,EB BROWN RD & FS COUNTRY CLUB DR,Mesa,Active,33.435101,-111.839373
-111.8352473,33.43497985,EB BROWN RD & FS GRAND,Mesa,Active,33.434985,-111.835258
-111.8426182,33.43505977,EB BROWN RD & 525 WEST,Mesa,Active,33.435065,-111.842629
-111.8265594,33.43484466,EB BROWN RD & FS PASADENA,Mesa,Active,33.43485,-111.82657
-111.8237961,33.43539973,EB BROWN RD & NS MESA DR,Mesa,Active,33.435405,-111.823807
-111.8320333,33.43484165,EB BROWN RD & NS CENTER ST,Mesa,Active,33.434847,-111.832044
-111.8274723,33.38034282,EB JAVALINA AV & FS LEWIS ST,Mesa,Active,33.380348,-111.827483
-111.8305051,33.41493067,EB MAIN ST & FS CENTER ST,Mesa,Active,33.414936,-111.830516
-111.8257003,33.4149069,EB MAIN ST & FS HIBBERT,Mesa,Active,33.414912,-111.825711
-111.8038351,33.4513318,EB MCKELLIPS RD & FS STAPLEY DR,Mesa,Active,33.451337,-111.803846
-111.8096391,33.39323472,EB SOUTHERN AV & FS SOLOMON,Mesa,Active,33.39324,-111.80965
-111.6885814,33.39380483,EB SOUTHERN AV & FS EAST MALL ENTRANCE,Mesa,Active,33.39381,-111.688592
-111.6926151,33.39378084,EB SOUTHERN AV & FS WEST MALL ENTRANCE,Mesa,Active,33.393786,-111.692626
-111.7793502,33.39347068,EB SOUTHERN AV & FS 24TH ST,Mesa,Active,33.393476,-111.779361
-111.7605981,33.39356587,EB SOUTHERN AV & FS 32ND ST,Mesa,Active,33.393571,-111.760609
-111.7472903,33.39360587,EB SOUTHERN AV & FS 39TH ST,Mesa,Active,33.393611,-111.747301
-111.7142053,33.39371075,EB SOUTHERN AV & FS 54TH ST,Mesa,Active,33.393716,-111.714216
-111.7836063,33.39348576,EB SOUTHERN AV & FS CHESTNUT,Mesa,Active,33.393491,-111.783617
-111.8004613,33.39330068,EB SOUTHERN AV & FS DORAN,Mesa,Active,33.393306,-111.800472
-111.7876024,33.39340176,EB SOUTHERN AV & FS GILBERT RD,Mesa,Active,33.393407,-111.787613
-111.7926403,33.39339178,EB SOUTHERN AV & FS HALL,Mesa,Active,33.393397,-111.792651
-111.7964391,33.3933367,EB SOUTHERN AV & FS HARRIS DR,Mesa,Active,33.393342,-111.79645
-111.8182221,33.39322369,EB SOUTHERN AV & FS HOBSON,Mesa,Active,33.393229,-111.818233
-111.8133481,33.39322467,EB SOUTHERN AV & FS HORNE,Mesa,Active,33.39323,-111.813359
-111.7014453,33.39374672,EB SOUTHERN AV & FS LEISURE WORLD BLVD,Mesa,Active,33.393752,-111.701456
-111.7704694,33.3934369,EB SOUTHERN AV & FS LINDSAY RD,Mesa,Active,33.393442,-111.77048
-111.8223791,33.39313375,EB SOUTHERN AV & FS MESA DR,Mesa,Active,33.393139,-111.82239
-111.7412213,33.39363371,EB SOUTHERN AV & FS NORFOLK,Mesa,Active,33.393639,-111.741232
-111.8262062,33.39322179,EB SOUTHERN AV & FS PASADENA,Mesa,Active,33.393227,-111.826217
-111.8291744,33.39320771,EB SOUTHERN AV & FS PIMA,Mesa,Active,33.393213,-111.829185
